Name,Counselling,tool1,tool1Message,tool2,tool2Message,tool3,tool3Message,tool4,tool4Message,tool5,tool5Message,tool6,tool6Message,tool7,tool7Message,tool8,tool8Message
"There’s always gossip or comparisons, where others think they knew better than me. But for me, it’s a different story altogether, about how I try to do my best","Being compared to others can seem upsetting. Being the subject of gossip can seem confusing. I understand how you feel and I am happy to know that you're doing your part to focus on your own growth.

I'm here to help you find techniques for being more assertive and self-assured.

Let's take some time to understand how you feel when compared to others. And work on that. And also on how to improve your social relationships so that you can have a fruitful social life.

Before we begin, let's focus our attention on the present moment, away from thoughts of the past and the future. This will enable us to proceed with greater clarity.",practice_awareness,"Let's begin by closing your eyes or gently lowering your gaze. Now, pay attention to all the sounds around you. Simply notice the sounds. Take a while to stay with it. You should now gently observe how your body feels against the wind, the surface that supports you when you sit or stand. Notice the firmness of that support. Gently open your eyes and notice all that you see around you. Allow yourself to settle into the feeling of being here.",guided_journaling,"1. How do you feel when you're compared to others, when they think they know better than you, and when they gossip about you?
2. What have you done about it so far?",reflective_questions,What qualities do you admire about yourself?,guided_journaling,"Can you remember any incidents when you felt reluctant to express how you felt? You had difficulty expressing your needs, and over-apologized when it was not your fault?",guided_journaling,I feel_______when_______. I need you to____.,guided_journaling,Reflect and evaluate what behaviors are unacceptable to you right now and how can you express yourself and your needs in an assertive manner.,,,,
I would like to have more self-discipline when it comes to my lifestyle. I don’t feel confident or know how and where to start building a routine,"Hello!

Acknowledging a need or a lack of something in one’s life is a brave and necessary first step to getting better, and I’m glad you’ve already taken it! Wanting to have more self-discipline is a pretty healthy desire! But, it’s not a cakewalk getting our life in order.

And that’s the first thing I’d like you to know - getting self-discipline with your lifestyle is not a linear journey. There are days when it seems easy to make healthier choices and days when you may just want to curl up in bed and eat ice cream straight out of the tub. Going through these waves in your health journey is common and expected.

You seem to have identified a lack of self-confidence - you don’t feel confident in building a routine for yourself, and so you sabotage all your efforts. I wonder what else there is to this pattern. Where does the lack of self-confidence come from? 

Let me give you some food for thought before you answer…

Many people start their ~~health~~ journey with a specific goal - maybe they want to lose some weight; maybe they want to get on a diet or be able to run a certain length or work and sleep at a particular time. While these specific and concrete goals help us get started, we may need more motivation once we meet them. For example, if your goal is to lose 10 pounds and you manage to do that in a month, you may no longer feel motivated to go further.

Another common reason to lose motivation is setting unsustainable routines. For example, sustaining it may be extremely difficult if you’ve gone from having dessert daily to completely cutting off sugar.

Yet another reason for giving up is when we don’t see obvious results quickly. We may feel that we’re not doing it right or will never meet our goals and give up.

Can you relate to any of this? If not, that’s alright.",guided_journaling,What do you think are your current goals when it comes to self-discipline? Let’s write it down.,guided_journaling,"What are the messages, values, and beliefs you have learned about self-care? How do you think your beliefs impact your journey?",guided_journaling,What external factors could be contributing to you sabotaging your efforts?,practice_affirmations,"For the good of all, and to the harm of none, I am becoming healthier and happier",,,,,,,,
"I have a hard time finding the motivation or reason to do the things I want to do so badly. I am always coming up with excuses, I am always procrastinating. I am unable to achieve the things I want most out of my life","Hi there!

One of the hardest things to do is to set realistic and achievable expectations. But it’s so so important to figure out how to do this. Because when we set unrealistically high expectations for ourselves, we inadvertently set ourselves up for failure.

Of course, there’s always scope for improvement. Even the best can get better because better, by definition, is relative. It’s not a static destination you can reach and check off your list.

But at what point does it become enough?

We often underestimate the value of ‘enough.’ Enough is that sweet spot where we’re fulfilling our potential, have a balance between input and output, and can enjoy different aspects of life - work, recreation, relationships, and good health.",guided_journaling,What does your ‘enough’ look like?,guided_journaling,Where do you think your lack of motivation is coming from?,guided_journaling,What does emotional regulation look like for you?,practice_breathing,breathing_4_x_4,,,,,,,,
I tend to feel shame and guilt when I procrastinate getting things done. I just feel annoyed and anxious about myself,"Pushing work for later can feel unsettling at times, right? Although we procrastinate for various reasons, it often always leaves us feeling annoyed or guilty. In this mini-therapy, we will reflect on those reasons and how to regulate emotions to overcome them. Let’s go!

Let's start by meditating on the reasons behind your procrastination.",practice_awareness,What thoughts or emotions arise when you think about the tasks you need to complete? Take a deep breath and let these thoughts and emotions come to you. Remember to be kind to yourself and acknowledge these feelings. I’ll give you some time.,reflective_questions,Reflect on your previous experiences with procrastination and consider what might be causing it. What are some underlying emotions or fears? Would you like to sit with this thought? I’ll give you space to express yourself.,practice_awareness,"Observe your emotions as they come, and acknowledge them without judgment. Once you feel an emotion, you may say it out loud to yourself, and be self-compassionate.",,,,,,,,,,
I want to know how to navigate differences in my relationship but not be so easily affected by the conflicts - it impacts my mood devastatingly and I don't know how to recover from the arguments,"I am so happy to see you here! I see that you are having difficulty navigating differences in your relationship. Don’t worry, you’re not alone! Relationships are tricky even under the best of circumstances. Add a little conflict to the mix and they can feel really unsettling.

Conflict is hard when you are with someone you care about. Oftentimes, emotions are put on overdrive and our ability to have any kind of meaningful conversation goes out the window. Or, we are so afraid of hurting others’ feelings that we back down entirely and start blaming ourselves.

As you move about this therapy, you will gain a greater understanding of why it is difficult for you to navigate differences, why conflict feels so devastating to you, and how to regulate your emotions so that you don’t feel so emotionally activated for so long after the conflict.

Sounds good? Great! Let’s get started!

The best way to understand the present is to look at the past. This will help you understand why you are having difficulty. Remember, every behavior stems from somewhere. Knowing where your behavior originated will help you make sense of what is going on now.

What follows are some questions to get you started. This will help you reflect on how the conflict was handled and resolved in your family. For example, were you told that your opinion doesn’t matter, that you didn’t know anything, etc? Did conflict resolve peacefully or did it cause rifts in relationships? Whatever it is for you, I want you to write it down.",guided_journaling,"1. How was conflict handled in your life growing up?
2. What were you told about your opinion?
3. How were conflicts resolved growing up?",reflective_questions,What is the message you are sending to yourself about your role in the conflict and/or your partner’s view of you after the conflict?,practice_awareness,Spend some time thinking about this,,,,,,,,,,
"I procrastinate. I may have the time to start or finish something, but I choose not to do it, then I get mad at myself","If you find yourself putting off tasks until the last minute, or even avoiding them altogether, it could be really frustrating. I understand. Procrastination is a habit that can make us disappointed, stressed, and anxious. Everyone procrastinates at some point. In this mini-therapy, we will explore the reasons for procrastination and provide some tips to help you deal with it effectively. Let’s go.

At this point, it's important to understand why you procrastinate. Consider this - If you feel overwhelmed or distracted by tasks at hand, afraid of making mistakes, or even realize that you have high expectations of yourself, you may find it difficult to complete tasks. Why? There could be many reasons why you procrastinate, including fear, lack of motivation, and distractions, among others.

You mentioned not starting a task even when you have time, so let’s pause and reflect on this question.",reflective_questions,What will motivate you to act and complete the task?,guided_journaling,Take this space to think about why you procrastinate. And reframe those thoughts.,reflective_questions,What other distractions do you want to minimize? And think how can you do it?,practice_awareness,"Close your eyes and imagine yourself completing the task at hand. Picture yourself feeling proud, accomplished, and relieved. Allow yourself to feel the positive emotions that come with completing the task. Once you've visualized the outcome, open your eyes and take a deep breath.",,,,,,,,
"I feel like I'm worthless. Worthless because I don't feel like I do things right. I fear that I'll make mistakes when doing tasks, which only confirms my feelings of worthlessness","Hi, I'm glad you’re here! What you are struggling with resonates with so many people. That feeling of worthlessness has such a stronghold, doesn’t it? And then fear of failure creeps in and before you know it, it feels like you are diving head first into a shallow pond.

Okay, so that is a weird visual, but not entirely off the mark right?

The point is, you must be feeling pretty overwhelmed with this cycle of feeling worthless, and fear of failure, leading to more feelings of worthlessness.

I am here to help you understand a little more about where this feeling of worthlessness comes from, and how to face it and move toward the things that matter to you.

I know you feel apprehensive right now. Do you know how I know that? Because you fear failure, which means trying new things is super scary. But the fact that you are facing that fear right now just by being here says a lot about your desire to change that.

The first thing I want you to do is to challenge yourself to release any story you might be telling yourself that this won’t work. This will be challenging, or you might fail. I’m going to give you a mantra to repeat to yourself throughout this therapy and really, throughout your life when you start questioning yourself.",practice_affirmations,"Even though I fear failing, I fully accept myself for who I am.

Even though I feel scared to try, I completely accept myself.

I am worthy and capable.",reflective_questions,"Try answering the following questions.

1. How was I shown love growing up? (Did you have to earn it or was it given freely?)
2. How did my caregivers respond when I felt hurt or upset? (Did they comfort you or did you have to self-soothe?)
3. What did I have to do to feel safe and connected growing up? (Did you feel noticed only through your achievements, only when you did not have needs, etc)
4. Did I feel criticized growing up?",guided_journaling,Make a list of things that your fear of failure and feeling of worthlessness is preventing you from doing.,guided_journaling,"Draw two columns on a piece of paper. Take a minute to write down as many negative phrases you say to yourself as you can on one side. On the other side, reframe those phrases into something more empowering and positive.",,,,,,,,
"Sometimes, I feel really bad, like something is off. It makes me nauseous and vomit, and I cry too","What we feel emotionally is also felt physically. But sometimes, the physical experience can be intense and scary. Nausea, vomiting, and even uncontrollable crying are all distress signs - a plea for comfort. But, they can make us feel even more anxious, especially when they are intense, and seem uncontrollable. This is a vicious cycle.

We have anxious thoughts and feelings; we start feeling weird in the body; this makes us worry even more and our anxious thoughts and feelings become more intense; we try to stop it all but when that doesn’t work, we feel even more terrible, if that’s possible.

That’s a lot.

Let’s take a moment to center ourselves before we move forward. Our breath is a vital tool we can use to regulate ourselves. For most people, deep breathing while anxious helps them release some intensity. For some, however, it may make it momentarily more intense. However, inculcating a daily breathwork practice helps.

Today, I will take you through something called ‘box breathing’. This technique commonly benefits individuals who experience physical anxiety symptoms by slowing down their breathing and distracting them with counting.

As you breathe in, hold, and out, silently count to five.

Let’s begin…",practice_breathing,breathing_5_x_5_x_5_x_5,guided_journaling,In what situations does this discomfort occur? Think of the last few incidents and look for a pattern.,,,,,,,,,,,,
"I didn’t feel passionate about my job. It gave me good money, but I didn't have the courage or resources to try something else. I thought that people will judge me if I quit my job because I wasn't good at it or wasn't making enough money. At least once a year, I feel exhausted and lose interest in work","We all have certain expectations when it comes to a job. We all have an intent behind our job choices. It could be a passion, a purpose, an identity for ourselves, and most of all a meaning to the life we would live. As soon as the job we seek fails to meet those expectations, we feel stuck. We do the same work, but it doesn’t make us feel empowered but rather drained and exhausted. We lose our interest as it is probably no longer serving the purpose that you expected it to.

Before we move any further, how about we address the exhaustion you feel now?

Close your eyes and observe your breathing.

Do not try to rhythm your breathing or exercise them. Let it be. Notice the air you breathe in, the path it takes, and the way you release your breath.

Now, focus on your body. Notice each joint and muscle.

Now, become aware of any discomfort you are experiencing in your body.

Where do you notice exhaustion in your body?

Imagine now, that with every deep breath you take, you are packing an energy ball of light and air.

With each inhalation, imagine this ball traveling to the part of your body where you are feeling exhausted.",practice_breathing,breathing_4_x_4,reflective_questions,"What are the expectations of my work?

Are there any needs my work could fulfill?

What meaning do I wish my work could provide in my life?",guided_journaling,What are some changes you can think of in your current work that could better meet your needs?,guided_journaling,"Take some time to reflect on your early lived /past experiences, what helped you feel enriched and interested in your work?",guided_journaling,What are some past instances where others have formed a negative perception of you?,,,,,,
"Unfair treatment is what really gets to me, especially with my family too, they like my brother best","We all want to be accepted and loved by all. More specifically, by our own family members.

So, I understand how you feel when you are unfairly treated.

Your anger hurt, and your feelings are justified.

First, let's begin with a breathing exercise that will help you come back to the present moment and rest your brain.",practice_awareness,"You can keep your eyes shut or gently lower your gaze.

Begin by observing your natural breath. As you breathe in, notice how your chest and stomach expand.

As you breathe out, notice how they fall.

And just remain with each inhalation and exhalation. Being aware of how it rises and falls.

Allow your breath to flow naturally, while you notice how it feels to breathe in and out.",guided_journaling,"1. Think about what situations or behaviors made you feel unfairly treated.
2. How did you feel about it?
3. How did you respond to it?
4. How have you coped with it?",practice_awareness,"Think of a loving, caring, and supportive parent you wish you had. Now visualize them speaking to you in a kind and compassionate way. For example, they may tell you, “I love you”, “I am proud of all your achievements”, “I know you are doing the best you can and I’m happy about that”, or “It’s okay to be yourself”, “You are perfect the way you are"". Keep having a dialogue between yourself and this imaginary parental figure. End the practice by placing your hand over your chest and returning your attention to your natural breath.",guided_journaling,Fill in this statement: I feel_______when_______. I need you to____.,send_love_to_yourself,You're amazing and deserving of all your love.,,,,,,
